timestamp,date,price_usd,volume_usd,market_cap_usd,source,fetch_timestamp
2025-09-09 16:03:15.191,2025-09-09,112951.8697006361,41757607589.55739,2249827834806.4517,coingecko,2025-09-19 00:47:53.002229
2025-09-09 17:02:53.726,2025-09-09,112921.314592305,40952314424.657425,2249389015482.738,coingecko,2025-09-19 00:47:53.002229
2025-09-09 18:06:41.451,2025-09-09,112717.27875782315,40438918723.15573,2245345087854.6865,coingecko,2025-09-19 00:47:53.002229
2025-09-09 19:00:40.406,2025-09-09,112500.52744001287,40322510845.64381,2242023190278.5757,coingecko,2025-09-19 00:47:53.002229
2025-09-09 20:01:58.540,2025-09-09,112676.69684972118,40704219432.97959,2244351213647.6597,coingecko,2025-09-19 00:47:53.002229
2025-09-09 21:01:28.094,2025-09-09,112774.8919592429,40173764386.15783,2248432394696.198,coingecko,2025-09-19 00:47:53.002229
2025-09-09 22:02:25.704,2025-09-09,111729.81552424721,42409238010.4897,2227081553713.8086,coingecko,2025-09-19 00:47:53.002229
2025-09-09 23:02:18.185,2025-09-09,110870.22649131795,43827326027.7457,2210971823931.013,coingecko,2025-09-19 00:47:53.002229
2025-09-10 00:02:20.509,2025-09-10,110976.01267464506,41964080078.288536,2210474265771.7515,coingecko,2025-09-19 00:47:53.002229
2025-09-10 01:01:50.813,2025-09-10,111031.54556997617,44643447645.77995,2211378170306.756,coingecko,2025-09-19 00:47:53.002229
2025-09-10 02:06:24.550,2025-09-10,111145.96752255705,44837927181.55925,2213961790276.7686,coingecko,2025-09-19 00:47:53.002229
2025-09-10 03:01:51.690,2025-09-10,111319.25301235504,43608542000.67873,2218027271257.959,coingecko,2025-09-19 00:47:53.002229
2025-09-10 04:02:28.074,2025-09-10,111359.19585339191,45499174158.74415,2217671099701.062,coingecko,2025-09-19 00:47:53.002229
2025-09-10 05:01:36.633,2025-09-10,111301.75137263995,45284255715.50244,2216630087272.097,coingecko,2025-09-19 00:47:53.002229
2025-09-10 06:02:13.353,2025-09-10,111518.10122362581,45424092678.953285,2221848405033.736,coingecko,2025-09-19 00:47:53.002229
2025-09-10 07:01:58.797,2025-09-10,111521.54423183508,45541394285.09113,2221227776260.477,coingecko,2025-09-19 00:47:53.002229
2025-09-10 08:02:21.837,2025-09-10,111062.11173220031,44978803418.54875,2210727193113.1157,coingecko,2025-09-19 00:47:53.002229
2025-09-10 09:01:45.193,2025-09-10,111023.09957073671,44626236787.933395,2210345839066.9517,coingecko,2025-09-19 00:47:53.002229
2025-09-10 10:00:35.162,2025-09-10,111397.55074284918,44660584625.431725,2218294994553.086,coingecko,2025-09-19 00:47:53.002229
2025-09-10 11:02:20.585,2025-09-10,111525.92713938442,44370196791.008965,2221453829116.814,coingecko,2025-09-19 00:47:53.002229
2025-09-10 12:01:39.509,2025-09-10,111521.6910568116,43934536585.05142,2222102159284.935,coingecko,2025-09-19 00:47:53.002229
2025-09-10 13:01:44.524,2025-09-10,111567.4027745938,44548341283.4381,2222001507535.7637,coingecko,2025-09-19 00:47:53.002229
2025-09-10 15:02:39.241,2025-09-10,112528.44834154386,43245970383.44663,2237964223644.431,coingecko,2025-09-19 00:47:53.002229
2025-09-10 16:02:37.039,2025-09-10,112363.70010957935,45835673354.145256,2237840707075.9585,coingecko,2025-09-19 00:47:53.002229
2025-09-10 17:04:31.275,2025-09-10,112249.77986728513,44897884525.894356,2235940487303.634,coingecko,2025-09-19 00:47:53.002229
2025-09-10 18:01:35.220,2025-09-10,112321.22186740591,44799883844.167,2237688490041.1646,coingecko,2025-09-19 00:47:53.002229
2025-09-10 19:02:35.564,2025-09-10,112255.32408911726,44940483568.56,2236151044535.1636,coingecko,2025-09-19 00:47:53.002229
2025-09-10 20:01:50.368,2025-09-10,113426.4487582137,51452890699.151825,2255352776564.3223,coingecko,2025-09-19 00:47:53.002229
2025-09-10 21:03:27.515,2025-09-10,113934.39669773277,51793903166.468666,2269352790536.374,coingecko,2025-09-19 00:47:53.002229
2025-09-10 22:02:56.153,2025-09-10,113891.18838609783,52033947424.315186,2270326731945.8867,coingecko,2025-09-19 00:47:53.002229
2025-09-10 23:02:47.240,2025-09-10,113903.95331929345,49641977902.90345,2268747807452.147,coingecko,2025-09-19 00:47:53.002229
